onset	duration	sample	value	event_code	background	foreground_contrast	stimulus_cond
0	n/a	0	break cnt	break cnt	n/a	n/a	n/a
56.116	n/a	28058	surroundSuppB1_start	93	n/a	n/a	n/a
57.66	n/a	28830	fixpoint_ON	4	n/a	n/a	n/a
58.178	2.4	29089	stim_ON	8	1	0	2
61.086	n/a	30543	fixpoint_ON	4	n/a	n/a	n/a
61.596	2.4	30798	stim_ON	8	1	0.3	3
64.506	n/a	32253	fixpoint_ON	4	n/a	n/a	n/a
65.016	2.4	32508	stim_ON	8	1	0.6	1
67.928	n/a	33964	fixpoint_ON	4	n/a	n/a	n/a
68.436	2.4	34218	stim_ON	8	1	1	2
71.348	n/a	35674	fixpoint_ON	4	n/a	n/a	n/a
71.858	2.4	35929	stim_ON	8	1	0	3
74.768	n/a	37384	fixpoint_ON	4	n/a	n/a	n/a
75.278	2.4	37639	stim_ON	8	1	0.3	2
78.188	n/a	39094	fixpoint_ON	4	n/a	n/a	n/a
78.698	2.4	39349	stim_ON	8	1	0.6	1
81.608	n/a	40804	fixpoint_ON	4	n/a	n/a	n/a
82.118	2.4	41059	stim_ON	8	1	1	3
85.028	n/a	42514	fixpoint_ON	4	n/a	n/a	n/a
85.538	2.4	42769	stim_ON	8	1	0	2
88.448	n/a	44224	fixpoint_ON	4	n/a	n/a	n/a
88.958	2.4	44479	stim_ON	8	1	0.3	3
91.868	n/a	45934	fixpoint_ON	4	n/a	n/a	n/a
92.378	2.4	46189	stim_ON	8	1	0.6	1
95.288	n/a	47644	fixpoint_ON	4	n/a	n/a	n/a
95.798	2.4	47899	stim_ON	8	1	1	2
98.708	n/a	49354	fixpoint_ON	4	n/a	n/a	n/a
99.218	2.4	49609	stim_ON	8	0	0	3
102.128	n/a	51064	fixpoint_ON	4	n/a	n/a	n/a
102.638	2.4	51319	stim_ON	8	0	0.3	1
105.548	n/a	52774	fixpoint_ON	4	n/a	n/a	n/a
106.058	2.4	53029	stim_ON	8	0	0.6	2
108.968	n/a	54484	fixpoint_ON	4	n/a	n/a	n/a
109.478	2.4	54739	stim_ON	8	0	1	3
112.388	n/a	56194	fixpoint_ON	4	n/a	n/a	n/a
112.898	2.4	56449	stim_ON	8	1	1	1
115.808	n/a	57904	fixpoint_ON	4	n/a	n/a	n/a
116.318	2.4	58159	stim_ON	8	1	0.6	3
119.228	n/a	59614	fixpoint_ON	4	n/a	n/a	n/a
119.738	2.4	59869	stim_ON	8	1	0.3	2
122.648	n/a	61324	fixpoint_ON	4	n/a	n/a	n/a
123.158	2.4	61579	stim_ON	8	1	0	1
126.068	n/a	63034	fixpoint_ON	4	n/a	n/a	n/a
126.578	2.4	63289	stim_ON	8	1	1	1
129.49	n/a	64745	fixpoint_ON	4	n/a	n/a	n/a
130	2.4	65000	stim_ON	8	1	0.6	2
132.91	n/a	66455	fixpoint_ON	4	n/a	n/a	n/a
133.42	2.4	66710	stim_ON	8	1	0.3	3
136.33	n/a	68165	fixpoint_ON	4	n/a	n/a	n/a
136.84	2.4	68420	stim_ON	8	1	0	1
139.75	n/a	69875	fixpoint_ON	4	n/a	n/a	n/a
140.26	2.4	70130	stim_ON	8	0	0	2
143.17	n/a	71585	fixpoint_ON	4	n/a	n/a	n/a
143.68	2.4	71840	stim_ON	8	1	0	3
146.59	n/a	73295	fixpoint_ON	4	n/a	n/a	n/a
147.1	2.4	73550	stim_ON	8	0	0.3	1
150.01	n/a	75005	fixpoint_ON	4	n/a	n/a	n/a
150.52	2.4	75260	stim_ON	8	1	0.3	2
153.43	n/a	76715	fixpoint_ON	4	n/a	n/a	n/a
153.94	2.4	76970	stim_ON	8	0	0.6	3
156.85	n/a	78425	fixpoint_ON	4	n/a	n/a	n/a
157.36	2.4	78680	stim_ON	8	1	0.6	1
160.27	n/a	80135	fixpoint_ON	4	n/a	n/a	n/a
160.78	2.4	80390	stim_ON	8	0	1	2
163.69	n/a	81845	fixpoint_ON	4	n/a	n/a	n/a
164.2	2.4	82100	stim_ON	8	1	1	3
167.11	n/a	83555	fixpoint_ON	4	n/a	n/a	n/a
167.62	2.4	83810	stim_ON	8	1	1	1
170.53	n/a	85265	fixpoint_ON	4	n/a	n/a	n/a
171.04	2.4	85520	stim_ON	8	1	0.6	2
173.95	n/a	86975	fixpoint_ON	4	n/a	n/a	n/a
174.46	2.4	87230	stim_ON	8	1	0.3	3
177.37	n/a	88685	fixpoint_ON	4	n/a	n/a	n/a
177.88	2.4	88940	stim_ON	8	1	0	1
180.79	n/a	90395	fixpoint_ON	4	n/a	n/a	n/a
181.3	2.4	90650	stim_ON	8	1	1	1
184.21	n/a	92105	fixpoint_ON	4	n/a	n/a	n/a
184.72	2.4	92360	stim_ON	8	1	0.6	3
187.632	n/a	93816	fixpoint_ON	4	n/a	n/a	n/a
188.142	2.4	94071	stim_ON	8	1	0.3	2
191.052	n/a	95526	fixpoint_ON	4	n/a	n/a	n/a
191.562	2.4	95781	stim_ON	8	1	0	1
194.472	n/a	97236	fixpoint_ON	4	n/a	n/a	n/a
194.982	2.4	97491	stim_ON	8	0	0	3
197.892	n/a	98946	fixpoint_ON	4	n/a	n/a	n/a
198.402	2.4	99201	stim_ON	8	0	0.3	1
201.312	n/a	100656	fixpoint_ON	4	n/a	n/a	n/a
201.822	2.4	100911	stim_ON	8	0	0.6	2
204.732	n/a	102366	fixpoint_ON	4	n/a	n/a	n/a
