onset	duration	sample	value	event_code	feedback
0	n/a	0	break cnt	break cnt	n/a
37.244	n/a	18622	contrastChangeB2_start	95	n/a
43.08	n/a	21540	contrastTrial_start	5	n/a
45.9	n/a	22950	right_target	9	n/a
47.678	n/a	23839	right_buttonPress	13	smiley_face
48.3	n/a	24150	contrastTrial_start	5	n/a
49.57	n/a	24785	left_buttonPress	12	non_target
51.1	n/a	25550	left_target	8	n/a
53.28	n/a	26640	left_buttonPress	12	smiley_face
53.5	n/a	26750	contrastTrial_start	5	n/a
59.5	n/a	29750	right_target	9	n/a
61.04	n/a	30520	right_buttonPress	13	smiley_face
61.9	n/a	30950	contrastTrial_start	5	n/a
67.9	n/a	33950	left_target	8	n/a
68.88	n/a	34440	right_buttonPress	13	sad_face
69.5	n/a	34750	left_buttonPress	12	non_target
70.3	n/a	35150	contrastTrial_start	5	n/a
76.3	n/a	38150	right_target	9	n/a
78.12	n/a	39060	right_buttonPress	13	smiley_face
78.7	n/a	39350	contrastTrial_start	5	n/a
84.7	n/a	42350	left_target	8	n/a
85.82	n/a	42910	left_buttonPress	12	smiley_face
87.1	n/a	43550	contrastTrial_start	5	n/a
91.5	n/a	45750	left_target	8	n/a
92.202	n/a	46101	left_buttonPress	12	smiley_face
93.61	n/a	46805	left_buttonPress	12	non_target
93.9	n/a	46950	contrastTrial_start	5	n/a
96.7	n/a	48350	right_target	9	n/a
98.612	n/a	49306	right_buttonPress	13	smiley_face
99.112	n/a	49556	contrastTrial_start	5	n/a
105.112	n/a	52556	right_target	9	n/a
106.49	n/a	53245	right_buttonPress	13	smiley_face
107.512	n/a	53756	contrastTrial_start	5	n/a
111.912	n/a	55956	right_target	9	n/a
113.192	n/a	56596	right_buttonPress	13	smiley_face
114.312	n/a	57156	contrastTrial_start	5	n/a
118.712	n/a	59356	right_target	9	n/a
120.162	n/a	60081	right_buttonPress	13	smiley_face
121.112	n/a	60556	contrastTrial_start	5	n/a
123.912	n/a	61956	right_target	9	n/a
125.392	n/a	62696	right_buttonPress	13	smiley_face
126.312	n/a	63156	contrastTrial_start	5	n/a
130.712	n/a	65356	left_target	8	n/a
132.022	n/a	66011	left_buttonPress	12	smiley_face
133.112	n/a	66556	contrastTrial_start	5	n/a
133.312	n/a	66656	left_buttonPress	12	non_target
137.512	n/a	68756	right_target	9	n/a
139.912	n/a	69956	contrastTrial_start	5	n/a
145.912	n/a	72956	right_target	9	n/a
147.892	n/a	73946	right_buttonPress	13	smiley_face
148.312	n/a	74156	contrastTrial_start	5	n/a
152.712	n/a	76356	right_target	9	n/a
154.232	n/a	77116	right_buttonPress	13	smiley_face
155.114	n/a	77557	contrastTrial_start	5	n/a
157.914	n/a	78957	right_target	9	n/a
159.834	n/a	79917	right_buttonPress	13	smiley_face
160.314	n/a	80157	contrastTrial_start	5	n/a
163.114	n/a	81557	left_target	8	n/a
164.354	n/a	82177	left_buttonPress	12	smiley_face
165.514	n/a	82757	contrastTrial_start	5	n/a
168.314	n/a	84157	left_target	8	n/a
169.614	n/a	84807	left_buttonPress	12	smiley_face
170.714	n/a	85357	contrastTrial_start	5	n/a
175.114	n/a	87557	left_target	8	n/a
176.704	n/a	88352	left_buttonPress	12	smiley_face
177.514	n/a	88757	contrastTrial_start	5	n/a
180.314	n/a	90157	left_target	8	n/a
181.714	n/a	90857	left_buttonPress	12	smiley_face
182.714	n/a	91357	contrastTrial_start	5	n/a
187.114	n/a	93557	left_target	8	n/a
189.004	n/a	94502	left_buttonPress	12	smiley_face
189.514	n/a	94757	contrastTrial_start	5	n/a
195.514	n/a	97757	left_target	8	n/a
197.124	n/a	98562	left_buttonPress	12	smiley_face
197.914	n/a	98957	contrastTrial_start	5	n/a
203.914	n/a	101957	left_target	8	n/a
205.424	n/a	102712	left_buttonPress	12	smiley_face
206.316	n/a	103158	contrastTrial_start	5	n/a
212.686	n/a	106343	break cnt	break cnt	n/a
245.144	n/a	122572	9999	9999	n/a
